-1.683,-0.1304
-0.241,0.00162
1.765,0.19822
3.211,0.3692
4.829,0.54373
6.78,0.73925
8.41,0.89639
10.042,1.05005
11.515,1.18279
12.836,1.28416
13.354,1.29132
13.613,1.1697
13.917,0.98549
15.339,0.94431
17.133,0.8685
18.589,0.77864
19.148,0.72669
20.548,0.71681
22.273,0.73835
24.151,0.79125
26.705,0.87224
29.254,0.96018
33.193,1.05215
38.017,1.12359
42.005,1.14602
48.814,1.11738
55.66,1.03658
59.359,0.97543
64.305,0.87302
68.031,0.77362
71.943,0.6569
74.612,0.57448
78.477,0.46129
82.864,0.31394
85.849,0.19641
89.102,0.09003
