0.315,0.0242
1.0444,0.14366
1.7334,0.23666
2.706,0.36894
3.5976,0.45233
4.7323,0.55495
6.5155,0.70649
8.2987,0.85001
9.3929,0.92057
10.325,0.94784
11.2571,0.923
12.3513,0.84365
13.2429,0.74747
13.9724,0.67773
14.7018,0.62323
15.9582,0.58958
17.8224,0.61366
20.9024,0.67863
24.5903,0.77248
28.6429,0.88236
30.9124,0.94011
34.3571,1.0075
39.4635,1.06609
44.2456,1.08219
48.8656,1.04298
54.053,0.97411
58.5514,0.89641
64.063,0.78907
68.7641,0.67851
72.5736,0.57435
77.6394,0.43253
81.7325,0.30753
86.8388,0.1593
89.392,0.08077
