-4.41,-0.2089,0.0241,0.0187
-3.88,-0.1810,0.0212,0.0164
-3.35,-0.1567,0.0186,0.0158
-2.87,-0.1310,0.0164,0.0141
-2.32,-0.1061,0.0149,0.0120
-1.85,-0.0826,0.0138,0.0110
-1.37,-0.0620,0.0132,0.0100
-0.80,-0.0352,0.0128,0.0080
-0.31,-0.0146,0.0126,0.0063
-0.30,-0.0140,0.0125,0.0064
0.22,0.0102,0.0128,0.0037
0.75,0.0338,0.0135,0.0018
1.26,0.0564,0.0141,0.0005
1.73,0.0790,0.0149,-0.0008
2.25,0.1039,0.0164,-0.0025
2.81,0.1335,0.0178,-0.0045
3.34,0.1618,0.0200,-0.0063
3.84,0.1875,0.0220,-0.0082
4.85,0.2419,0.0287,-0.0110
5.86,0.2946,0.0375,-0.0148
7.92,0.4048,0.0604,-0.0226
7.96,0.4094,0.0606,-0.0222
10.03,0.5124,0.0907,-0.0229
12.11,0.6042,0.1270,-0.0215
14.15,0.7128,0.1743,-0.0287
16.23,0.8189,0.2304,-0.0343
16.24,0.8191,0.2297,-0.0336
18.29,0.9170,0.2907,-0.0411
20.39,1.0215,0.3641,-0.0482
