-4.54,-0.2505,0.0285,0.0304
-3.97,-0.2178,0.0244,0.0266
-3.43,-0.1863,0.0210,0.0232
-2.94,-0.1564,0.0184,0.0198
-2.45,-0.1273,0.0162,0.0164
-1.89,-0.0963,0.0145,0.0131
-1.38,-0.0684,0.0135,0.0095
-0.83,-0.0414,0.0131,0.0071
-0.32,-0.0152,0.0128,0.0036
-0.30,-0.0151,0.0131,0.0042
0.20,0.0095,0.0132,0.0016
0.75,0.0378,0.0136,-0.0007
1.34,0.0682,0.0145,-0.0042
1.81,0.0965,0.0156,-0.0076
2.30,0.1264,0.0169,-0.0105
2.88,0.1586,0.0192,-0.0148
3.38,0.1892,0.0219,-0.0173
3.90,0.2194,0.0250,-0.0207
4.96,0.2835,0.0330,-0.0277
6.05,0.3533,0.0444,-0.0376
7.06,0.4182,0.0574,-0.0460
8.12,0.4875,0.0737,-0.0564
8.13,0.4851,0.0734,-0.0548
10.26,0.6113,0.1121,-0.0683
12.36,0.7297,0.1583,-0.0798
14.49,0.7956,0.2025,-0.0705
16.59,0.9151,0.2661,-0.0907
18.65,0.9881,0.3235,-0.0954
