-4.10,-0.1887,0.0212,0.0164
-3.55,-0.1618,0.0191,0.0159
-3.12,-0.1415,0.0170,0.0147
-2.62,-0.1180,0.0154,0.0137
-2.11,-0.0927,0.0129,0.0121
-1.64,-0.0736,0.0129,0.0101
-1.06,-0.0478,0.0114,0.0094
-0.56,-0.0264,0.0111,0.0066
-0.10,-0.0052,0.0121,0.0045
-0.08,-0.0026,0.0109,0.0056
-0.08,-0.0058,0.0114,0.0048
0.44,0.0216,0.0121,0.0031
0.98,0.0438,0.0120,0.0018
1.48,0.0661,0.0132,0.0004
1.98,0.0855,0.0139,-0.0018
2.52,0.1109,0.0147,-0.0036
2.98,0.1340,0.0162,-0.0042
3.56,0.1633,0.0187,-0.0059
3.99,0.1800,0.0201,-0.0061
5.02,0.2352,0.0285,-0.0084
5.93,0.2822,0.0352,-0.0125
8.03,0.3914,0.0579,-0.0160
8.04,0.3962,0.0590,-0.0176
10.08,0.4893,0.0865,-0.0182
12.20,0.5916,0.1239,-0.0183
14.13,0.6832,0.1657,-0.0230
16.18,0.7840,0.2173,-0.0299
16.24,0.7893,0.2192,-0.0271
18.20,0.8858,0.2772,-0.0342
20.29,0.9799,0.3434,-0.0420
22.30,1.0587,0.4125,-0.0474
24.36,1.1327,0.4874,-0.0577
