;15;20;25;30;35
0.00;-0.027052;-0.025439;-0.023620;-0.021967;-0.019978
0.05;-0.026551;-0.024701;-0.022783;-0.020819;-0.018868
0.10;-0.026420;-0.024390;-0.022417;-0.020282;-0.018102
0.15;-0.026867;-0.024744;-0.022560;-0.020255;-0.017765
0.20;-0.027835;-0.025799;-0.023393;-0.020631;-0.017823
0.25;-0.029695;-0.027378;-0.024529;-0.021234;-0.017904
0.30;-0.032392;-0.029250;-0.025578;-0.021429;-0.017469
0.35;-0.035115;-0.030827;-0.026065;-0.020972;-0.016196
0.40;-0.037334;-0.031911;-0.025856;-0.019622;-0.013791
0.45;-0.039199;-0.032444;-0.024920;-0.017684;-0.010261
0.50;-0.040736;-0.032346;-0.023679;-0.015090;-0.005437
0.55;-0.041819;-0.031787;-0.021902;-0.011652;
0.60;-0.042530;-0.030856;-0.019312;-0.006507;
0.65;-0.042862;-0.029532;-0.015793;;
0.70;-0.042835;-0.027568;-0.010679;;
0.75;-0.042302;-0.024670;-0.003731;;
0.80;-0.041111;-0.020372;;;
0.85;-0.039193;-0.014495;;;
0.90;-0.036476;-0.007578;;;
0.95;-0.033066;-0.000076;;;
1.00;-0.028850;;;;
1.05;-0.023379;;;;
1.10;-0.016414;;;;
1.15;-0.008362;;;;
1.20;;;;;
1.25;;;;;
1.30;;;;;
1.35;;;;;
1.40;;;;;
