;15;20;25;30;35
0.00;-0.0028655;-0.0034502;-0.0039156;-0.0043090;-0.0046396
0.05;-0.0028302;-0.0033806;-0.0038738;-0.0041713;-0.0043967
0.10;-0.0028016;-0.0033379;-0.0038253;-0.0040592;-0.0042066
0.15;-0.0027997;-0.0033422;-0.0037948;-0.0039969;-0.0040930
0.20;-0.0028585;-0.0033829;-0.0037829;-0.0039774;-0.0039644
0.25;-0.0029966;-0.0034798;-0.0037980;-0.0039854;-0.0037471
0.30;-0.0032341;-0.0036037;-0.0038448;-0.0038503;-0.0034397
0.35;-0.0034843;-0.0037286;-0.0038959;-0.0036324;-0.0030328
0.40;-0.0036599;-0.0038179;-0.0038511;-0.0033261;-0.0024872
0.45;-0.0037709;-0.0038385;-0.0036638;-0.0029261;-0.0017774
0.50;-0.0038060;-0.0037458;-0.0033637;-0.0023454;-0.0006176
0.55;-0.0037765;-0.0035457;-0.0029480;-0.0015845;
0.60;-0.0036863;-0.0032999;-0.0024095;-0.0003994;
0.65;-0.0035527;-0.0030230;-0.0017481;;
0.70;-0.0033706;-0.0026564;-0.0008892;;
0.75;-0.0031475;-0.0021963;;;
0.80;-0.0028883;-0.0016024;;;
0.85;-0.0026111;-0.0008076;;;
0.90;-0.0022164;;;;
0.95;-0.0017317;;;;
1.00;-0.0011532;;;;
1.05;-0.0004908;;;;
1.10;;;;;
1.15;;;;;
1.20;;;;;
1.25;;;;;
1.30;;;;;
1.35;;;;;
1.40;;;;;
